#{"t_start": 1677753903.002829, "env_id": null}
r,l,t
4.0,4,4.780787
3.0,3,4.788464
3.0,3,4.794104
1.0,1,4.79515
1.0,1,4.798446
2.0,2,4.801717
1.0,1,4.802779
1.0,1,4.80385
1.0,1,4.806918
1.0,1,4.807932
3.0,3,4.81329
1.0,1,4.816243
5.0,5,4.828291
1.0,1,4.829442
2.0,2,4.834642
5.0,5,4.848199
3.0,3,4.85776
1.0,1,4.858955
1.0,1,4.860174
1.0,1,4.861311
4.0,4,4.871738
1.0,1,4.872752
1.0,1,4.879325
1.0,1,4.880472
1.0,1,4.881531
1.0,1,4.882633
1.0,1,4.883856
1.0,1,4.887783
1.0,1,4.888872
1.0,1,4.890058
1.0,1,4.891192
1.0,1,4.892366
1.0,1,4.895775
1.0,1,4.896843
1.0,1,4.897871
2.0,2,4.901427
1.0,1,4.904853
1.0,1,4.906045
1.0,1,4.907117
1.0,1,4.908261
4.0,4,4.920627
1.0,1,4.921823
1.0,1,4.92291
1.0,1,4.930399
2.0,2,4.934306
3.0,3,4.944767
2.0,2,4.94907
3.0,3,4.959547
2.0,2,4.963912
2.0,2,4.967762
1.0,1,4.972098
1.0,1,4.973341
2.0,2,4.9774
1.0,1,4.978736
1.0,1,4.98288
1.0,1,4.984112
1.0,1,4.985688
1.0,1,4.987006
1.0,1,4.988252
1.0,1,4.992724
1.0,1,4.994059
1.0,1,4.995551
2.0,2,4.998887
1.0,1,5.00231
1.0,1,5.003395
2.0,2,5.007391
